year,species_code,comp_type,base_iss_age,sub_iss_age,sub_samp,region
2017,10110,female,351.32651115953234,103.92451601588064,a25,goa
2017,10110,male,146.97431386524892,44.23710520767775,a25,goa
2017,10110,total,468.7802074337174,136.43518416041928,a25,goa
2017,10130,female,84.30149739756054,20.849635122956144,a25,goa
2017,10130,male,92.45699269768014,20.108695435662653,a25,goa
2017,10130,total,171.45761396059788,40.148837212517,a25,goa
2017,10180,female,74.1091760286534,27.955228301537673,a25,goa
2017,10180,male,86.11056112262882,29.49447423223234,a25,goa
2017,10180,total,154.18732395092596,57.04293999426616,a25,goa
2017,10200,female,155.0769827156459,48.05376562427439,a25,goa
2017,10200,male,112.29123913753858,35.728103037186884,a25,goa
2017,10200,total,242.97112191884372,76.2471647089318,a25,goa
2017,10261,female,125.23848422075469,47.81975078599661,a25,goa
2017,10261,male,69.66279196290346,26.128513640523433,a25,goa
2017,10261,total,164.4872437609201,70.10391428796606,a25,goa
2017,10262,female,158.62301498249423,57.79733021763447,a25,goa
2017,10262,male,99.79549935896412,38.66249441348273,a25,goa
2017,10262,total,224.44706813605703,90.33832657154478,a25,goa
2017,21720,female,63.25477723268746,23.238621529785565,a25,goa
2017,21720,male,57.20516881821688,21.73947116220204,a25,goa
2017,21720,total,95.48761892478105,38.30336828780678,a25,goa
2017,21740,female,13.459944379424147,12.3965229934563,a25,goa
2017,21740,male,16.161227625375076,14.3073721231572,a25,goa
2017,21740,total,16.65611414115834,15.61279465941798,a25,goa
2017,30051,female,49.516579499413574,18.040245958238025,a25,goa
2017,30051,male,47.786094636470025,17.09248759734196,a25,goa
2017,30051,total,88.26793530524152,33.87532186368639,a25,goa
2017,30052,female,48.16180007247538,16.41504526861391,a25,goa
2017,30052,male,46.47175438644671,18.09705859658804,a25,goa
2017,30052,total,91.2294492787506,35.912242500994196,a25,goa
2017,30060,female,170.5195528060789,68.66151085996182,a25,goa
2017,30060,male,154.12197398573568,60.768519286626926,a25,goa
2017,30060,total,277.7722719247158,122.10034302238977,a25,goa
2017,30152,female,93.57618010428207,33.925283080904535,a25,goa
2017,30152,male,63.63308708681187,24.799903316053665,a25,goa
2017,30152,total,127.16769873604282,54.01120073061857,a25,goa
2017,30420,female,95.33412574910182,36.17378479754208,a25,goa
2017,30420,male,79.42222436720823,27.373255891926075,a25,goa
2017,30420,total,161.5747609751012,63.61659998263181,a25,goa
2019,10110,female,380.0649601514089,108.13355905115937,a25,goa
2019,10110,male,203.59885483029555,60.020154599305506,a25,goa
2019,10110,total,541.6453103464688,161.65523312434436,a25,goa
2019,10130,female,70.96257454099161,18.33911622535761,a25,goa
2019,10130,male,80.00742026133891,20.250849403528814,a25,goa
2019,10130,total,138.73528785205343,35.445737982086605,a25,goa
2019,10180,female,66.25905720774722,24.932370409873123,a25,goa
2019,10180,male,74.8347159072222,26.474104771487735,a25,goa
2019,10180,total,135.36319522892103,50.47226862661983,a25,goa
2019,10200,female,200.71256070822457,66.85198257889152,a25,goa
2019,10200,male,139.25253562501177,49.30477099003437,a25,goa
